Company,Date,Open,High,Low,Close,Volume
MASI,2017-07-04,0,0,0,12053.84,729248
MASI,2017-07-03,0,0,0,12056.33,1433316
MASI,2017-06-30,0,0,0,12015.84,2339932
MASI,2017-06-29,0,0,0,12051.96,690811
MASI,2017-06-28,0,0,0,12041.85,903103
MASI,2017-06-23,0,0,0,11956.76,1763869
MASI,2017-06-22,0,0,0,11922.7,631394
MASI,2017-06-21,0,0,0,11848.72,1907722
MASI,2017-06-20,0,0,0,11845.39,4369203
MASI,2017-06-19,0,0,0,11845.7,917071
MASI,2017-06-16,0,0,0,11750.82,676679
MASI,2017-06-15,0,0,0,11639.72,316359
MASI,2017-06-14,0,0,0,11754.98,356375
MASI,2017-06-13,0,0,0,11720.02,678191
MASI,2017-06-12,0,0,0,11684.96,241710
MASI,2017-06-09,0,0,0,11693.71,749462
MASI,2017-06-08,0,0,0,11756.74,991038
MASI,2017-06-07,0,0,0,11720.37,1795526
MASI,2017-06-06,0,0,0,11604.7,255434
MASI,2017-06-05,0,0,0,11625.08,439887
MASI,2017-06-02,0,0,0,11615.28,448460
MASI,2017-06-01,0,0,0,11560.4,830824
MASI,2017-05-31,0,0,0,11577.96,1271115
MASI,2017-05-30,0,0,0,11536.13,355331
MASI,2017-05-29,0,0,0,11534.46,3251458
MASI,2017-05-26,0,0,0,11592.31,612501
MASI,2017-05-25,0,0,0,11566.48,199010
MASI,2017-05-24,0,0,0,11589.66,276014
MASI,2017-05-23,0,0,0,11636.15,1709964
MASI,2017-05-22,0,0,0,11645.85,245603
MASI,2017-05-19,0,0,0,11683.62,285977
MASI,2017-05-18,0,0,0,11720.24,610597
MASI,2017-05-17,0,0,0,11640.99,212609
MASI,2017-05-16,0,0,0,11636.5,482891
MASI,2017-05-15,0,0,0,11757,205343
MASI,2017-05-12,0,0,0,11747.86,593824
MASI,2017-05-11,0,0,0,11737.45,2927104
MASI,2017-05-10,0,0,0,11727.3,614938
MASI,2017-05-09,0,0,0,11719.17,569930
MASI,2017-05-08,0,0,0,11764.37,364871
MASI,2017-05-05,0,0,0,11743.86,483207
MASI,2017-05-04,0,0,0,11789.5,337020
MASI,2017-05-03,0,0,0,11798.38,1014153
MASI,2017-05-02,0,0,0,11825.66,602161
MASI,2017-04-28,0,0,0,11637.93,988012
MASI,2017-04-27,0,0,0,11483.84,1153223
MASI,2017-04-26,0,0,0,11384.16,407390
MASI,2017-04-25,0,0,0,11370.61,337627
MASI,2017-04-24,0,0,0,11379.36,97169
MASI,2017-04-21,0,0,0,11330.12,478708
MASI,2017-04-20,0,0,0,11321.1,143804
MASI,2017-04-19,0,0,0,11322.22,389148
MASI,2017-04-18,0,0,0,11295.21,373363
MASI,2017-04-17,0,0,0,11259.43,59582
MASI,2017-04-14,0,0,0,11222.64,269455
MASI,2017-04-13,0,0,0,11291.02,350878
MASI,2017-04-12,0,0,0,11331.48,57388
MASI,2017-04-11,0,0,0,11303.9,562827
MASI,2017-04-10,0,0,0,11307.41,549195
MASI,2017-04-07,0,0,0,11319.54,147294
MASI,2017-04-06,0,0,0,11293.22,266063
MASI,2017-04-05,0,0,0,11330.61,828572
MASI,2017-04-04,0,0,0,11321.57,409675
MASI,2017-04-03,0,0,0,11316.45,166157
MASI,2017-03-31,0,0,0,11379.71,1024967
MASI,2017-03-30,0,0,0,11438.25,1370734
MASI,2017-03-29,0,0,0,11632.67,378719
MASI,2017-03-28,0,0,0,11560.49,1641399
MASI,2017-03-27,0,0,0,11517.39,203288
MASI,2017-03-24,0,0,0,11502.71,931953
MASI,2017-03-23,0,0,0,11690.69,605914
MASI,2017-03-22,0,0,0,11889.96,227391
MASI,2017-03-21,0,0,0,11906.91,646400
MASI,2017-03-20,0,0,0,11941.97,490946
MASI,2017-03-17,0,0,0,11929.65,861085
MASI,2017-03-16,0,0,0,11945.53,528582
MASI,2017-03-15,0,0,0,11995.38,712872
MASI,2017-03-14,0,0,0,11996.23,645390
MASI,2017-03-13,0,0,0,11937.78,120613
MASI,2017-03-10,11928.3,11969.1,11916.32,11935.03,446048
